btc_total_bitcoins,btc_market_cap,btc_trade_volume,btc_avg_block_size,btc_n_orphaned_blocks,btc_n_transactions_per_block,btc_median_confirmation_time,btc_hash_rate,btc_difficulty,btc_miners_revenue,btc_transaction_fees,btc_cost_per_transaction_percent,btc_n_unique_addresses,btc_n_transactions,btc_estimated_transaction_volume,btc_transaction_to_trade_ratio,btc_market_price_label
-2.070244363,-0.5149835229,-0.4137673068,-0.9286658316,-0.4310289537,-0.9156921893,-1.3811131437,-0.4702425945,-0.4759877481,-0.7001317658,-0.5630965236,-0.0374313057,-0.9056683085,-0.9306429367,-0.7132640549,1.5423122741,0
-2.0693844927,-0.5149835229,-0.4137673068,-0.9286661999,-0.4310289537,-0.9156921893,-1.3811131437,-0.4702425945,-0.4759877481,-0.7001317658,-0.5630965236,-0.0374313057,-0.9057070058,-0.9307163911,-0.7132640549,1.5426829921,0
-2.0685576944,-0.5149835229,-0.4137673068,-0.9286662575,-0.4310289537,-0.9156921893,-1.3811131437,-0.4702425945,-0.4759877481,-0.7001317658,-0.5630965236,-0.0374313057,-0.9057235904,-0.9307478716,-0.7132640549,1.5428418713,0
-2.0676978241,-0.5149835229,-0.4137673068,-0.9286662388,-0.4310289537,-0.9156921893,-1.3811131437,-0.4702425945,-0.4759877481,-0.7001317658,-0.5630965236,-0.0374313057,-0.9057070058,-0.9307163911,-0.7132640549,1.5426829921,0
-2.0670584333,-0.5149835229,-0.4137673068,-0.9286658592,-0.4310289537,-0.9156921893,-1.3811131437,-0.4702425945,-0.4759877481,-0.7001317658,-0.5630965236,-0.0374313057,-0.9058175696,-0.930926261,-0.7132640549,1.5437421865,0
-2.066242659,-0.5149835229,-0.4137673068,-0.9286655398,-0.4310289537,-0.9156921893,-1.3811131437,-0.4702425945,-0.4759877481,-0.7001317658,-0.5630965236,-0.0374313057,-0.9057291186,-0.9307583651,-0.7132640549,1.542894831,0
-2.0655150764,-0.5149835229,-0.4137673068,-0.9286653124,-0.4310289537,-0.9156921893,-1.3811131437,-0.4702425945,-0.4759877481,-0.7001317658,-0.5630965236,-0.0374313057,-0.9057733441,-0.930842313,-0.7132640549,1.5433185087,0
-2.0644347266,-0.5149835229,-0.4137673068,-0.9280602661,-0.4310289537,-0.9156921893,-1.3811131437,-0.4702425945,-0.4759877481,-0.7001317658,-0.5602424859,-0.0364758622,-0.9055853857,-0.9304960278,-0.6762907631,1.5309788956,0
-2.0634976884,-0.5149835229,-0.4137673068,-0.928665439,-0.4310289537,-0.9156921893,-1.3811131437,-0.4702425945,-0.4759877481,-0.7001317658,-0.5630965236,-0.0374313057,-0.9056683085,-0.9306429367,-0.7132640549,1.5423122741,0
-2.0629575135,-0.5149835229,-0.4137673068,-0.9286659991,-0.4310289537,-0.9156921893,-1.3811131437,-0.4702425945,-0.4759877481,-0.7001317658,-0.5630965236,-0.0374313057,-0.9058673232,-0.9310207024,-0.7132640549,1.544218824,0
-2.0623842666,-0.5149835229,-0.4137673068,-0.9286671528,-0.4310289537,-0.9156921893,-1.3811131437,-0.4702425945,-0.4759877481,-0.7001317658,-0.5630965236,-0.0374313057,-0.9058507387,-0.9309892219,-0.7132640549,1.5440599448,0
-2.0612267489,-0.5149835229,-0.4137673068,-0.9285894694,-0.4310289537,-0.9156921893,-1.3811131437,-0.4702425945,-0.4759877481,-0.7001317658,-0.5630965236,-0.0271494804,-0.9055356321,-0.9304015864,-0.7095815151,1.5401515178,0
-2.060190495,-0.5149835229,-0.4137673068,-0.928665955,-0.4310289537,-0.9156921893,-1.3811131437,-0.4702425945,-0.4759877481,-0.7001317658,-0.5630965236,-0.0374313057,-0.9056185549,-0.9305484953,-0.7132640549,1.5418356369,0
-2.0588786416,-0.5149835229,-0.4137673068,-0.9285760467,-0.4310289537,-0.9156921893,-1.3811131437,-0.4702425945,-0.4759877481,-0.7001317658,-0.5630965236,-0.0296966084,-0.905474822,-0.930265171,-0.7077180612,1.5389228526,0
-2.0578423876,-0.5149835229,-0.4137673068,-0.9285428675,-0.4310289537,-0.9156921893,-1.3811131437,-0.4702425945,-0.4759877481,-0.7001317658,-0.5630965236,-0.0330754876,-0.905563273,-0.9304435604,-0.7054848743,1.539415378,0
-2.0567069179,-0.5149835229,-0.4137673068,-0.9286434666,-0.4310289537,-0.9156921893,-1.3811131437,-0.4702425945,-0.4759877481,-0.7001317658,-0.5630965236,0.4407642674,-0.9055411602,-0.9304225734,-0.713186411,1.5412848558,0
-2.0553289206,-0.5149835229,-0.4137673068,-0.9286666296,-0.4310289537,-0.9156921893,-1.3811131437,-0.4702425945,-0.4759877481,-0.7001317658,-0.5630965236,-0.0374313057,-0.9054471811,-0.930223197,-0.7132640549,1.5401938856,0
-2.0542154988,-0.5149835229,-0.4137673068,-0.928431773,-0.4310289537,-0.9156921893,-1.3811131437,-0.4702425945,-0.4759877481,-0.7001317658,-0.5630965236,-0.0355376298,-0.9055743294,-0.9304540538,-0.6940379432,1.5359571086,0
-2.0530690051,-0.5149835229,-0.4137673068,-0.928665811,-0.4310289537,-0.9156921893,-1.3811131437,-0.4702425945,-0.4759877481,-0.7001317658,-0.5630965236,-0.0374313057,-0.905563273,-0.9304435604,-0.7132640549,1.5413060397,0
-2.0518784154,-0.5149835229,-0.4137673068,-0.9275888939,-0.4310289537,-0.9156921893,-1.3811131437,-0.4702425945,-0.4759877481,-0.7001317658,-0.5630965236,-0.0371072855,-0.9055079911,-0.9303491189,-0.5931119486,1.5066219823,0
-2.050599634,-0.5149835229,-0.4137673068,-0.9286404396,-0.4310289537,-0.9156921893,-1.3811131437,-0.4702425945,-0.4759877481,-0.7001317658,-0.5630965236,-0.0353561576,-0.9054914066,-0.930307145,-0.6931136109,1.5348979145,0
-2.0492877806,-0.5149835229,-0.4137673068,-0.9286082438,-0.4310289537,-0.9156921893,-1.3811131437,-0.4702425945,-0.4759877481,-0.7001317658,-0.5630965236,-0.0237978792,-0.9054637656,-0.930265171,-0.7101176278,1.5396017961,0
-2.0475129201,-0.5149835229,-0.4137673068,-0.9286401716,-0.4310289537,-0.9156921893,-1.3811131437,-0.4702425945,-0.4759877481,-0.7001317658,-0.5630965236,0.0408574013,-0.9052315818,-0.9298244443,-0.7125208918,1.5380225374,0
-2.0453081245,-0.5149835229,-0.4137673068,-0.9286630469,-0.4310289537,-0.9156921893,-1.3811131437,-0.4702425945,-0.4759877481,-0.7001317658,-0.5630965236,38.9610426169,-0.9050215108,-0.9294256916,-0.7132603576,1.536169477,0
